<eps>	sil
seng 	s ɤŋ
min 	m ɪ n
sai 	s a ɪ
dang 	t ɑŋ
xuan 	ɕ ɥ œ n
tai 	tʰ a ɪ
lan 	l a n
meng 	m ɤŋ
qiong 	tɕʰ j ʊŋ
lie 	l j ɛ
kuang 	kʰ w ɑŋ
zan 	t s a n
chen 	ʈʂʰ ə n
teng 	tʰ ɤŋ
long 	l ʊŋ
rang 	ʐ ɑŋ
xiong 	ɕ j ʊŋ
chong 	ʈʂʰ ʊŋ
dui 	t w e ɪ
ke 	kʰ ɤ
tu 	tʰ u
dou 	t o ʊ
mao 	m ɑ ʊ
liu 	l j o ʊ
shou 	ʂ o ʊ
ran 	ʐ a n
nei 	n e ɪ
gang 	k ɑŋ
gua 	k w a
kou 	kʰ o ʊ
pan 	pʰ a n
qia 	ɕ j a
mei 	m e ɪ
zhun 	ʈʂ u ə n
cou 	tsʰ o ʊ
du 	t u
kai 	kʰ a ɪ
deng 	t ɤŋ
wen 	u ə n
hua 	x w a
yue 	ɥ œ
pao 	p ɑ ʊ
bie 	p j ɛ
geng 	k ə n
shua 	ʂ w a
cuo 	tsʰ u ɔ
la 	l a
pou 	pʰ o ʊ
tuan 	tʰ w a n
mo 	m ɔ
keng 	kʰ ɤŋ
shao 	ʂ ɑ ʊ
gao 	x ɑ ʊ
lang 	l ɑŋ
weng 	ʊŋ
tao 	tʰ ɑ ʊ
nao 	n ɑ ʊ
zang 	t s ɑŋ
suan 	s w a n
nian 	n j ɛ n
shuai 	ʂ u a ɪ
ang 	ɑŋ
que 	tɕʰ ɥ œ
zhe 	ʈʂ ɤ
zui 	t s w e ɪ
rou 	tɕʰ j o ʊ
shuang 	ʂ w ɑŋ
die 	t j ɛ
rui 	ʐ w e ɪ
po 	pʰ ɔ
mang 	m ɑŋ
tun 	tʰ u ə n
fou 	f o ʊ
shun 	ʂ u ə n
guo 	kʰ u a ɪ
pen 	pʰ ə n
ne 	n ɤ
huai 	x u a ɪ
pin 	pʰ ɪ n
ha 	x a
yo 	j ɔ
o 	ɤ
shuo 	ʂ u ɔ
huan 	x w a n
nou 	n o ʊ
ken 	kʰ ə n
a 	a
chuai 	ʈʂʰ u ɔ
pa 	pʰ a
se 	s ɤ
nie 	n j ɛ
wai 	u a ɪ
miao 	m j ɑ ʊ
cao 	tsʰ ɑ ʊ
de 	t ɤ
hei 	x e ɪ
ceng 	ʈʂʰ ɤŋ
hm 	ɕ ɪ n
ca 	tsʰ a
chuo 	ʈʂʰ u ɔ
nin 	n ɪ n
kun 	kʰ u ə n
qun 	tɕʰ y n
ri 	ʐ ɚ
lve 	l ɥ œ
zhui 	ʈʂ w e ɪ
sao 	s ɑ ʊ
zeng 	t s ɤŋ
zhuang 	ʈʂ w ɑŋ
hang 	x ɑŋ
en 	ə n
zou 	t s o ʊ
nv 	n y
nuan 	n a n
niu 	n j o ʊ
rao 	ʐ ɑ ʊ
niang 	n j ɑŋ
niao 	n j ɑ ʊ
nen 	n ə n
sun 	s u ə n
kuan 	kʰ w a n
cen 	tsʰ ə n
cuan 	tsʰ w a n
shui 	ʂ w e ɪ
kuo 	kʰ u ɔ
te 	tʰ ɤ
zen 	t s ə n
re 	ʐ ɤ
zei 	t s e ɪ
den 	tʰ u ɔ
